"","geneID","logFC","logCPM","F","PValue","FDR"
"41","PBANKA_0707400",0.330640505725552,7.79699268625529,2.18169555744924,0.166273113353715,0.198261045961301
"42","PBANKA_0709500",-2.15255178817937,7.63451688203198,98.3470399742422,5.17430517124165e-07,2.18362742124242e-06
"43","PBANKA_0712700",-1.23755636671913,3.77342201521732,22.7153726102985,0.000503653419951937,0.000957735415256547
"44","PBANKA_0715200",0.135334990804114,8.01670114025324,0.545326543975909,0.474750196813339,0.517091934252097
"45","PBANKA_0716500",3.34291470742321,9.44335783607573,163.795676450052,3.37993800893619e-08,2.1767152854425e-07
"46","PBANKA_0717500",-0.708458862099152,5.05374544622183,9.29736542144224,0.0104554597393877,0.0154412373457784
"47","PBANKA_0717900",0.469042472325737,5.97908007201033,8.63478430129629,0.0126759192342974,0.0183964485131557
"48","PBANKA_0719200",0.632119299481468,5.76794057586223,13.526442334764,0.00327899748570235,0.00531909529822363
"49","PBANKA_0720800",-1.13111668671999,5.01990115307588,20.9863469105045,0.000687407369472071,0.00127147226978641
"50","PBANKA_0801200",0.286740394329092,8.84027808109094,2.34482210459934,0.152213524732144,0.183174718570605
"51","PBANKA_0805800",0.203462274382847,4.06876792856259,0.62100141232573,0.446471681399553,0.490286175888585
"52","PBANKA_0809000",3.26739860998646,8.07964528111393,231.528942164031,4.40922061963432e-09,4.91103947094321e-08
"53","PBANKA_0811100",-0.532794764322786,5.43105193512667,5.60273056421621,0.0362465321004644,0.0489021679675114
"54","PBANKA_0817700",-0.707913439100959,5.41470844557509,14.3868693576626,0.00271360239198396,0.00448279139303697
"55","PBANKA_0818600",0.291918457136302,4.63033536469531,1.31707692405494,0.274223051839311,0.313524552565241
"56","PBANKA_0821800",-1.0835919682476,4.89108852247058,28.5995559102274,0.000194896354956163,0.000406390122939789
"57","PBANKA_0824800",0.170332706556319,6.71596700058013,1.17184207435677,0.300774651468301,0.34041909065497
"58","PBANKA_0825600",0.824709131093717,5.39935747564836,26.7537458871863,0.0002498940779473,0.000508422916300842
"59","PBANKA_0830000",1.39129266968522,7.24371573141363,60.8186533910334,5.61400927166815e-06,1.73543061610442e-05
"60","PBANKA_0833800",1.2527465692323,6.84779721506919,53.3521258613456,1.07143280887934e-05,3.05435543096093e-05
"61","PBANKA_0835800",0.174485199523471,4.93625577629479,0.912331987998123,0.35876747138114,0.40127652129287
"62","PBANKA_0909800",0.0444448157664125,5.07083024690063,0.0551176394261171,0.818444464176984,0.841410584040608
