"","logFC","logCPM","F","PValue","FDR"
"PY17X_0811600",-1.47592413023732,0.975403913295295,12.5732293772373,0.00511696780764588,0.00606256095020153
"PY17X_0603400",-0.630271937271113,3.74884621648175,12.5681279976225,0.00512318571427198,0.00606847715103535
"PY17X_1312000",-0.684951558628188,3.01957179137475,12.5498214200696,0.00514557390207721,0.00609353984676097
"PY17X_1306200",-0.743631032931864,3.30560094959853,12.5290739282969,0.00517108953955999,0.00612229330101751
"PY17X_0918400",-0.690400860810249,3.3164823174927,12.5083075625927,0.00519678081830591,0.00615124092083212
"PY17X_0203600",0.614498621984653,3.4303838856473,12.4930194167379,0.00521579275508983,0.00617227050960488
"PY17X_1319500",-0.513510872315292,4.75013654905423,12.4737674653731,0.00523985303629542,0.00619902355704427
"PY17X_1353500",0.747865442738004,2.65630562282691,12.4729308090249,0.00524090167554792,0.00619902355704427
"PY17X_0815500",-0.656892965656895,3.47600414959284,12.4528603150023,0.00526613318373367,0.00622738154583252
"PY17X_1466000",0.463116051854971,4.7358349884653,12.4375778829,0.00528544336239464,0.00624872550191504
"PY17X_1005700",-0.460413543317169,4.75409447823445,12.3898977305977,0.00534623920845633,0.0063190940894609
"PY17X_0212600",1.1480412992574,0.323103719915256,12.3121565651822,0.00544717808296495,0.0064368147664882
"PY17X_1448100",-0.982514859930406,1.30920377724934,12.3112003618332,0.00544843380658152,0.0064368147664882
"PY17X_1323700",-1.52564987559025,-0.226172091125874,12.3017711026217,0.00546083533198273,0.00644992848076892
"PY17X_1424000",-0.929514261766965,3.19154795364534,12.2611146778201,0.00551469750186135,0.0065119944768227
"PY17X_1001600",1.74750582577821,-0.142243801222349,12.1746237089435,0.00563142176219311,0.00664776989173222
"PY17X_0320701",-1.49522018635382,0.784910548869759,12.173935823799,0.00563236194015004,0.00664776989173222
"PY17X_1470501",1.75604074492072,-0.449563855150617,12.1452849835241,0.00567168908420511,0.00669259311936203
"PY17X_0804000",-1.2563822984814,0.426145485295845,12.1095068958345,0.00572126390672256,0.00674948438983981
"PY17X_1042000",0.725718403254396,2.92351151227606,12.0881082514075,0.00575116329714678,0.00678314262271762
"PY17X_0216600",0.692475320884879,2.80489615472814,12.070481821911,0.00577593313381084,0.00681073628626374
"PY17X_1358600",-1.08532932548177,3.75095829616154,12.0401313995599,0.00581888485118301,0.00685975102817863
"PY17X_1124000",0.539373026848324,4.05366398460057,12.0367466699159,0.00582369866272541,0.0068637932395879
"PY17X_1005800",-0.629324606713263,4.67895876601068,11.9955629386001,0.00588265607034418,0.00693163183181782
"PY17X_1005500",-0.551299779493555,4.5968434041117,11.9452666933718,0.00595563514589218,0.00701595621179978
"PY17X_1207100",-0.554712517878537,4.9917115961925,11.8672996601097,0.00607092826978392,0.00715007616564855
"PY17X_1452600",0.74844430819193,5.7748646832996,11.8637924879537,0.00607617725635412,0.0071545579668546
"PY17X_0525400",-0.640589478210157,3.29539924485259,11.8477957496877,0.00610018799961093,0.00718112392543272
"PY17X_1228400",1.50784222022976,-0.514380009866254,11.8130905151055,0.00615267323829266,0.00724118940132473
"PY17X_1340200",0.560269405003697,3.58561743209063,11.709373203184,0.00631279494617812,0.00742787553496172
"PY17X_0706100",-0.49620279759349,4.64189347220961,11.6914880680332,0.00634091073571647,0.00745918670928336
"PY17X_1021800",0.7258413785749,2.93603767109573,11.6869556189282,0.00634805974010172,0.00746455061797562
"PY17X_0605600",0.447618863057866,5.859778822535,11.6866875800122,0.0063484828197674,0.00746455061797562
"PY17X_1126200",1.06648217528724,2.16630257254788,11.6279094379995,0.00644208456021288,0.00757281097732805
"PY17X_0209200",-0.900548877650803,1.5791616841585,11.6171070015729,0.00645946707944243,0.00759144388089084
"PY17X_1303700",0.557688629891505,4.5930013899628,11.5879760023776,0.00650662459054856,0.00764505250610684
"PY17X_1434000",0.769218855079312,2.52329793350403,11.5781976711797,0.00652254659405835,0.00766194380662554
"PY17X_1027900",-0.815296133543032,6.11229610723352,11.5323632976703,0.0065978061078195,0.00774851352378043
"PY17X_1246700",-1.24073934692246,1.6650278359986,11.5044948557402,0.00664407652991385,0.00779981733252927
"PY17X_1400100",-1.53415832731322,0.587774942383813,11.5041577752043,0.00664463857504814,0.00779981733252927
"PY17X_1003400",0.532344504790706,7.67390092177418,11.471277532323,0.00669973875481798,0.00786263444680983
"PY17X_0213400",0.759442941814789,3.82657076127394,11.4500297653175,0.00673563787607312,0.0079028933034608
"PY17X_0900031",-1.65576860621887,-0.267270381812896,11.4340320670057,0.00676281953014197,0.00793290735890736
"PY17X_0401200",1.17635355347019,0.5454268094547,11.3984361389145,0.00682377546172593,0.00800251566216604
"PY17X_0511900",-0.46226370253366,6.29295973894999,11.3534586274749,0.00690174485148012,0.00809203867611437
"PY17X_0414700",-0.724849466285295,3.33773560903186,11.2883176706246,0.00701657729564478,0.00822472967767634
"PY17X_0500021",1.58876182740572,-0.632755808663014,11.2753454308063,0.00703971884408575,0.00824990460895932
"PY17X_0606400",0.984793674798324,0.755725486346046,11.2569891286668,0.0070726222974092,0.00828650498958865
"PY17X_1424300",0.632305335548399,3.46881678580175,11.2387068015785,0.00710557725306324,0.00832314839663943
"PY17X_1222200",0.622594548896951,6.25780853257977,11.2269042803663,0.00712695014020139,0.00834621098649294
"PY17X_0307600",-0.374620211570973,7.47239281830914,11.2069237324188,0.00716330901553074,0.00838680828749594
"PY17X_1327300",-0.962610166812739,1.74872586588252,11.1558673458295,0.0072572357339702,0.00849477097249794
"PY17X_0704600",-0.580791199291064,5.05826521036248,11.1317700959217,0.00730208114549933,0.00854524537357608
"PY17X_0622600",-0.429790354593067,4.71082867126824,11.1066214600248,0.00734923932202544,0.00859840181302126
"PY17X_0607400",-0.948382553291104,2.88995021493337,10.989318281835,0.00757410633147349,0.00885939839008323
"PY17X_1133400",0.489922585222329,6.05666302052656,10.9864667312941,0.00757967498051563,0.00886382001024904
"PY17X_0509800",-0.961644064324436,5.43213919352803,10.9357403471891,0.0076795644181739,0.00897851409683176
"PY17X_0802500",0.736472949126378,4.13795379456461,10.8594870953689,0.00783271938784883,0.00915541445428745
"PY17X_0839800",-1.91556494387113,-0.565992251844734,10.8183398423129,0.00791689073833639,0.00925161766073925
"PY17X_0612900",0.455401038300735,8.50079748503883,10.8023746679633,0.00794984224059337,0.00928793449891107
"PY17X_1021600",0.519050749557319,8.08525022632218,10.7482544263619,0.00806277963199769,0.00941766105495653
"PY17X_1103600",1.75442494762632,0.106856098017262,10.7421160423048,0.00807571072544082,0.00943054249653268
"PY17X_1249100",-1.31390861900247,1.59871347861138,10.7011538016948,0.00816264378484084,0.00952981451064103
"PY17X_0105300",-0.544534895503429,4.42857312416615,10.6720879567192,0.00822501331825408,0.0096003688189513
"PY17X_1241800",0.81567418542714,2.00749100125462,10.649651620124,0.00827354992878376,0.00965474769179475
"PY17X_0523100",0.824172607245281,5.76055037003591,10.623928641306,0.00832962156532386,0.00971789182621117
"PY17X_0208900",0.389629328656611,7.21933401141054,10.6085017397233,0.00836346905505715,0.0097550841696548
"PY17X_1311200",2.06220205131207,-0.348748568421395,10.607047513458,0.00836666824308611,0.00975651948534935
"PY17X_1036900",1.20328434830155,1.26462647753772,10.5453078887712,0.00850386033297417,0.00991416885679134
"PY17X_0839600",0.546807717937786,3.59891221787525,10.5424419049422,0.00851029438902945,0.00991933654563263
"PY17X_0420200",0.411575654695623,6.30792890329213,10.5371621758915,0.00852216259131516,0.0099308341882337
"PY17X_1023600",0.446655042835863,5.00986468964471,10.5089004056014,0.00858603163925147,0.0100029085106089
"PY17X_0310100",-0.966825899150611,1.56933859152387,10.4599760290516,0.00869796456747134,0.0101309312329936
"PY17X_0514200",-0.902917336344689,2.3595611442959,10.4335118504101,0.0087592436231671,0.010199908692767
"PY17X_0702600",-0.603894505331197,3.61905268228447,10.4171963190227,0.00879728214141635,0.0102402898300139
"PY17X_0908700",-0.724649197320808,4.10951617027099,10.4168662642543,0.00879805369172702,0.0102402898300139
"PY17X_0513800",-0.373938946202622,7.80344874361033,10.3668351571806,0.00891595697609823,0.010375084004119
"PY17X_1351600",0.393151699124536,7.61306480118267,10.3397256850263,0.00898063799454167,0.0104478971598471
"PY17X_1412000",0.880532085185968,1.60666958499564,10.3317665137518,0.00899973516304251,0.0104676572325836
"PY17X_1243400",-1.72408421749974,0.743359928750727,10.3181161448567,0.00903260175889502,0.0105034195957493
"PY17X_0700200",1.3723959602242,0.348613386258912,10.3163872940208,0.0090367746966105,0.0105058070364536
"PY17X_0108500",0.858405398057561,3.84645626233455,10.313341070363,0.00904413303703096,0.0105118957156486
"PY17X_0404500",-0.391432576026301,5.71041325123454,10.235502250535,0.00923462952916634,0.010730791077737
"PY17X_0910700",0.769615568336165,1.95203646809672,10.2235253620376,0.0092643681527769,0.0107628243237605
"PY17X_1368400",-0.451238776736028,5.35870693509924,10.0917958044387,0.00959918755590986,0.0111491852653127
"PY17X_1315300",-0.650433937770849,2.92353235028222,10.0863165733664,0.00961342727307365,0.0111631081455841
"PY17X_0524500",0.749989735816489,4.57646431159282,10.0614553739725,0.00967835850787312,0.0112358736858794
"PY17X_0209300",-1.11375853605399,0.68503408531172,10.0560080738601,0.00969265599304953,0.0112498367919329
"PY17X_1206100",-0.826508510018041,1.45743577806386,10.0488173613026,0.00971156839066134,0.0112691484299034
"PY17X_0101400",-1.05569589708747,0.833250659800184,10.0442238686196,0.00972367307923527,0.0112805533194499
"PY17X_1463700",0.328629650100201,6.28285464542624,10.0270012025941,0.00976922010563253,0.0113307406607804
"PY17X_0404100",0.344054611890749,7.07113313572578,9.99924149427341,0.00984317575490793,0.0114138462895002
"PY17X_1248800",0.412121338527972,5.85132032239071,9.99783543347537,0.00984693961134348,0.0114155398160978
"PY17X_1101900",1.14248560453316,1.0039972095873,9.99157704811533,0.00986371361416563,0.011432311663191
"PY17X_0829600",0.577290440442982,4.38376667502047,9.9675857181905,0.00992833609003643,0.0115045203792893
"PY17X_1230000",0.436452510711266,5.41575184304855,9.9015499026028,0.0101088613855444,0.011710967046928
"PY17X_0617800",-0.720998947464068,3.26950024931867,9.87192198666753,0.0101911410216939,0.0118017857551319
"PY17X_0617000",0.573066321724625,2.96168614222023,9.87160761974098,0.0101920183680316,0.0118017857551319
"PY17X_0937400",-0.589797819361377,2.97470234256796,9.84706946447902,0.0102607820782798,0.0118786348937059
"PY17X_1318500",0.428645013998228,5.16277412890778,9.84268514840611,0.0102731271345265,0.0118901490141788
"PY17X_0314400",1.65933051673946,-0.299779530934496,9.73764141856943,0.0105743266323164,0.0122359007214009
"PY17X_0412800",-0.392731668971649,4.82146379943307,9.70385894650107,0.010673448412767,0.012347714830456
"PY17X_1464600",-0.512742807380888,7.20865788548907,9.68195987674366,0.0107383015109941,0.0124198418409537
"PY17X_1425800",-0.827135727661351,2.54679879587205,9.67610014465835,0.010755735339061,0.0124371032058765
"PY17X_0304700",-0.352092434663348,6.50148414226145,9.64557663607083,0.0108471024392917,0.0125398273126032
"PY17X_1214300",-0.825696444247788,2.57550545619005,9.62618858286995,0.0109056234861381,0.0126045405777287
"PY17X_1352300",-0.736443518444993,4.12041741396633,9.61344441629613,0.0109442979738469,0.0126462906874295
"PY17X_1239400",1.03075282767692,0.876965811354305,9.60644176687059,0.0109656191801475,0.0126679740458767
"PY17X_1308500",1.00009066629833,1.11119630863036,9.57747497006622,0.0110543491989016,0.0127675028267901
"PY17X_0113500",-0.465825826261002,5.29277737805518,9.53528267747475,0.0111851452199927,0.0129155591123681
"PY17X_1405900",-1.22158444867015,0.367706234029454,9.52424323072855,0.011219674983065,0.0129524130482344
"PY17X_0417900",-1.20508982086841,3.04058937353988,9.52156577034322,0.0112280690446583,0.0129590848126052
"PY17X_1424500",0.869367602818934,3.16662698775528,9.43158225256099,0.0115146309406604,0.0132867313019588
"PY17X_0306800",0.595787495911933,3.77862168925569,9.30059497206557,0.0119477100271654,0.013783252070445
"PY17X_0508000",0.350554469783773,6.35913701788241,9.29395152413605,0.011970193914014,0.0138059765040385
"PY17X_1135400",-0.747432530448338,2.37457712932568,9.26587239995658,0.0120657896829061,0.0139129952695399
"PY17X_0618300",0.420424063737739,4.52945013349093,9.23025356639996,0.0121883832136732,0.0140510879755675
"PY17X_0916700",-1.00639882092533,1.60084972007444,9.22762550519986,0.0121974879121346,0.0140583139750091
"PY17X_0820700",0.608390356426134,4.62670203296806,9.20654583443468,0.0122708143182962,0.0141395386564696
"PY17X_0105200",0.500658960192225,3.70026134376365,9.18622489926502,0.0123420054846342,0.014218265732647
"PY17X_0603600",-0.401014199991694,5.14972736164623,9.17459685097788,0.0123829666783295,0.0142621387073672
"PY17X_1146100",-0.435032785267784,5.89405077702111,9.16990136466813,0.012399553571095,0.0142779246046344
"PY17X_0512600",-0.467600750598878,5.94943604134679,9.12156955563291,0.0125718543948151,0.0144729640837871
"PY17X_1447800",1.06358626663075,0.212601633442681,9.10294064953376,0.0126390361495116,0.0145469259537807
"PY17X_1225200",-0.659115787032142,3.68217040690112,9.09812700058485,0.0126564660785653,0.0145636048027327
"PY17X_1119000",0.632362883627348,2.96976300484093,9.0834887023632,0.0127096489771053,0.0146214067619623
"PY17X_1119400",-0.659583597307762,2.85337572340401,9.0767014639425,0.012734399416742,0.0146464802760207
"PY17X_0803600",-0.616994744478258,2.45667752169608,9.06668996691835,0.0127710137486319,0.0146851842548074
"PY17X_1218300",-0.63742678675144,2.83322629294366,9.06300860622919,0.012784509265007,0.0146972924883727
"PY17X_0622400",-0.663921963940633,2.65867759467572,9.0564037383861,0.0128087652449308,0.0147217626516412
"PY17X_0407500",-0.342637583407871,6.47228507520395,9.02767680310453,0.0129149114911953,0.0148403202759944
"PY17X_0721300",-0.63755045009597,3.36917060214499,8.99236535688556,0.0130468458917729,0.014988448826988
"PY17X_0833100",-0.393539800403241,5.87581689718083,8.93216458294206,0.0132755460680206,0.0152476492035018
"PY17X_1113500",1.75640211380284,1.16111600849491,8.90295111622189,0.0133882696206401,0.0153735551992337
"PY17X_1216300",0.456185818920423,4.28774501926289,8.89560999610086,0.0134167776175505,0.0154027217680288
"PY17X_1102600",0.607323932087954,4.41939717019281,8.88740399236369,0.0134487310312026,0.0154358293169615
"PY17X_0211700",-1.7863758512177,0.416263080634673,8.88362285368769,0.0134634853475868,0.0154491857797268
"PY17X_1113400",0.407400317388875,5.55282824726122,8.87706052755271,0.0134891385029108,0.0154750394491727
"PY17X_1324300",-0.465159200681041,4.05070261708678,8.82130020856312,0.0137095123429804,0.0157242173505696
"PY17X_1446500",0.635653520364277,3.32374666681983,8.78469154690229,0.0138565612281438,0.0158891988539289
"PY17X_1139400",0.364924912030563,7.74923065721159,8.75568560262092,0.0139744255322295,0.0160206460647072
"PY17X_0700065",1.13264079031667,0.240594824354345,8.74613427070955,0.0140135016312736,0.0160617285117002
"PY17X_1133200",-1.23904121885954,0.116229393534859,8.6629582215142,0.0143594270566731,0.0164544093625137
"PY17X_0405500",-1.27052143299934,0.562583566479955,8.64911893107156,0.0144179801956118,0.0165165343140329
"PY17X_0922300",-0.80060529211792,3.6986808474911,8.64857026539796,0.0144203075013762,0.0165165343140329
"PY17X_1305000",-0.474605667630666,5.9063254160924,8.63834879749851,0.0144637475483271,0.0165624613792766
"PY17X_0813000",-0.400999678476491,5.48427221967024,8.62372119931675,0.0145261884119341,0.016630120066885
"PY17X_0413600",-0.821191215540933,2.38766219480252,8.61836483609659,0.0145491345409296,0.0166525429064312
"PY17X_1417500",-1.43423840548943,2.30268011493976,8.57988377130965,0.0147152770950282,0.0168388162740614
"PY17X_1335100",0.948576851821262,0.185637029223341,8.51680342237958,0.0149926140809662,0.0171522150012162
"PY17X_1143100",0.35486559368501,8.21513136736294,8.40804038824877,0.0154857836626633,0.0177123341408169
